label	Sample collection date	Sample collection date decimal
Coli_000413	2011-07-01	2011.495890410959
Coli_000414	2011-07-01	2011.495890410959
Coli_000415	2011-07-01	2011.495890410959
Coli_000416	2011-07-01	2011.495890410959
Coli_000417	2011-07-01	2011.495890410959
Coli_000418	2011-07-01	2011.495890410959
Coli_000419	2011-07-01	2011.495890410959
Coli_000420	2011-07-01	2011.495890410959
Coli_000421	2011-07-01	2011.495890410959
Coli_000422	2011-07-01	2011.495890410959
Coli_000423	2012-07-01	2012.4972677595629
Coli_000424	2012-07-01	2012.4972677595629
Coli_000425	2012-07-01	2012.4972677595629
Coli_000426	2012-07-01	2012.4972677595629
Coli_000427	2012-07-01	2012.4972677595629
Coli_000428	2012-07-01	2012.4972677595629
Coli_000429	2012-07-01	2012.4972677595629
Coli_000430	2013-07-01	2013.495890410959
Coli_000431	2013-07-01	2013.495890410959
Coli_000432	2013-07-01	2013.495890410959
Coli_000433	2013-07-01	2013.495890410959
Coli_000434	2013-07-01	2013.495890410959
Coli_000435	2013-07-01	2013.495890410959
Coli_000436	2013-07-01	2013.495890410959
Coli_000437	2013-07-01	2013.495890410959
Coli_000438	2013-07-01	2013.495890410959
Coli_000439	2013-07-01	2013.495890410959
Coli_000440	2013-07-01	2013.495890410959
Coli_000441	2013-07-01	2013.495890410959
Coli_000442	1996-07-01	1996.4972677595629
Coli_000443	1996-07-01	1996.4972677595629
Coli_000444	1996-07-01	1996.4972677595629
Coli_000445	1997-07-01	1997.495890410959
Coli_000446	1997-07-01	1997.495890410959
Coli_000447	1997-07-01	1997.495890410959
Coli_000448	1997-07-01	1997.495890410959
Coli_000449	1998-07-01	1998.495890410959
Coli_000450	1998-07-01	1998.495890410959
Coli_000451	1998-07-01	1998.495890410959
Coli_000452	1998-07-01	1998.495890410959
Coli_000453	1998-07-01	1998.495890410959
Coli_000454	1998-07-01	1998.495890410959
Coli_000455	1998-07-01	1998.495890410959
Coli_000456	1998-07-01	1998.495890410959
Coli_000457	1998-07-01	1998.495890410959
Coli_000458	1998-07-01	1998.495890410959
Coli_000459	1999-07-01	1999.495890410959
Coli_000460	1999-07-01	1999.495890410959
Coli_000461	1999-07-01	1999.495890410959
Coli_000462	1999-07-01	1999.495890410959
Coli_000463	2000-07-01	2000.4972677595629
Coli_000464	2000-07-01	2000.4972677595629
Coli_000465	2000-07-01	2000.4972677595629
Coli_000466	2001-07-01	2001.495890410959
Coli_000467	2001-07-01	2001.495890410959
Coli_000468	2001-07-01	2001.495890410959
Coli_000469	2001-07-01	2001.495890410959
Coli_000470	2001-07-01	2001.495890410959
Coli_000471	2002-07-01	2002.495890410959
Coli_000472	2002-07-01	2002.495890410959
Coli_000473	2002-07-01	2002.495890410959
Coli_000474	2002-07-01	2002.495890410959
Coli_000475	2002-07-01	2002.495890410959
Coli_000476	2003-07-01	2003.495890410959
Coli_000477	2003-07-01	2003.495890410959
Coli_000478	2004-07-01	2004.4972677595629
Coli_000479	2004-07-01	2004.4972677595629
Coli_000480	2004-07-01	2004.4972677595629
Coli_000481	2004-07-01	2004.4972677595629
Coli_000482	2004-07-01	2004.4972677595629
Coli_000483	2005-07-01	2005.495890410959
Coli_000484	2005-07-01	2005.495890410959
Coli_000485	2006-07-01	2006.495890410959
Coli_000486	2006-07-01	2006.495890410959
Coli_000487	2006-07-01	2006.495890410959
Coli_000488	2006-07-01	2006.495890410959
Coli_000489	2006-07-01	2006.495890410959
Coli_000490	2006-07-01	2006.495890410959
Coli_000491	2006-07-01	2006.495890410959
Coli_000492	2007-07-01	2007.495890410959
Coli_000493	2007-07-01	2007.495890410959
Coli_000494	2007-07-01	2007.495890410959
Coli_000495	2008-07-01	2008.4972677595629
Coli_000496	2008-07-01	2008.4972677595629
Coli_000497	2008-07-01	2008.4972677595629
Coli_000498	2008-07-01	2008.4972677595629
Coli_000499	2009-07-01	2009.495890410959
Coli_000500	2009-07-01	2009.495890410959
Coli_000501	2011-07-01	2011.495890410959
Coli_000502	2011-07-01	2011.495890410959
Coli_000503	2011-07-01	2011.495890410959
Coli_000504	2011-07-01	2011.495890410959
Coli_000505	2011-07-01	2011.495890410959
Coli_000506	2011-07-01	2011.495890410959
Coli_000507	2006-07-01	2006.495890410959
Coli_000508	2006-07-01	2006.495890410959
Coli_000509	2008-07-01	2008.4972677595629
Coli_000510	2009-07-01	2009.495890410959
Coli_000511	2009-07-01	2009.495890410959
Coli_000512	2009-07-01	2009.495890410959
Coli_000513	2015-07-01	2015.495890410959
Coli_000514	2015-07-01	2015.495890410959
Coli_000515	2015-07-01	2015.495890410959
Coli_000516	2015-07-01	2015.495890410959
Coli_000517	2015-07-01	2015.495890410959
Coli_000518	2015-07-01	2015.495890410959
Coli_000519	2015-07-01	2015.495890410959
Coli_000520	2015-07-01	2015.495890410959
Coli_000521	2015-07-01	2015.495890410959
Coli_000522	2015-07-01	2015.495890410959
Coli_000523	2015-07-01	2015.495890410959
Coli_000524	2015-07-01	2015.495890410959
Coli_000525	2015-07-01	2015.495890410959
Coli_000526	2015-07-01	2015.495890410959
Coli_000527	2015-07-01	2015.495890410959
Coli_000528	2015-07-01	2015.495890410959
Coli_000529	2015-07-01	2015.495890410959
Coli_000530	2015-07-01	2015.495890410959
